freer-simple,1,1.3890259903047525e-7,1.3834438128383366e-7,1.397228461387475e-7
freer-simple,10,1.2519456227406474e-6,1.2481625543869088e-6,1.2563045118481022e-6
freer-simple,100,1.2466176056415064e-5,1.2417645287258265e-5,1.2521436543916563e-5
fused-effects,1,1.1769397526694695e-6,1.1729330264905017e-6,1.1832612358686927e-6
fused-effects,10,1.1893975775858126e-5,1.1853858577122904e-5,1.193318978724851e-5
fused-effects,100,1.4199149878107393e-4,1.416715709004512e-4,1.4248424257753278e-4
simple-effects,1,3.3487235622639066e-6,3.338834988169329e-6,3.3606497475661486e-6
simple-effects,10,3.356259305599572e-5,3.3386304635022715e-5,3.3906378209798424e-5
simple-effects,100,3.730572692369717e-4,3.717188799321348e-4,3.7442791663987055e-4
